sl,roll,sem,year,sub_code,total_credits,credit_obtained,timestamp,sub_type
1,0801CS01,1,2008,CH101,8,BB,9/8/2009 13:40:56:92,CORE
2,0801CS01,1,2008,CH110,3,BC,9/8/2009 13:40:56:92,CORE
3,0801CS01,1,2008,EE101,8,BB,9/8/2009 13:40:56:92,CORE
4,0801CS01,1,2008,HS101,6,BB,9/8/2009 13:40:56:92,CORE
5,0801CS01,1,2008,MA101,8,BB,9/8/2009 13:40:56:92,CORE
6,0801CS01,1,2008,ME111,7,AB,9/8/2009 13:40:56:92,CORE
7,0801CS01,1,2008,PH101,6,CC,9/8/2009 13:40:56:92,CORE
8,0801CS01,1,2008,PH110,3,AA,9/8/2009 13:41:08:53,CORE
9,0801CS01,2,2008,CH102,6,CC,9/8/2009 13:41:08:53,CORE
10,0801CS01,2,2008,CS101,6,BC,9/8/2009 13:41:08:53,CORE
11,0801CS01,2,2008,CS110,3,BC,9/8/2009 13:41:08:53,CORE
12,0801CS01,2,2008,EE102,4,BB,9/8/2009 13:41:08:53,CORE
13,0801CS01,2,2008,MA102,8,BC,9/8/2009 13:41:08:53,CORE
14,0801CS01,2,2008,ME101,8,BC,9/8/2009 13:41:08:53,CORE
15,0801CS01,2,2008,ME110,3,AB,9/8/2009 13:40:56:92,CORE
16,0801CS01,2,2008,PH102,6,CD,9/8/2009 13:41:08:53,CORE
17,0801CS01,3,2009,CS201,9,BB,11/30/2009 15:56,CORE
18,0801CS01,3,2009,CS203,6,BB,12/2/2009 16:22,CORE
19,0801CS01,3,2009,CS221,6,BB,12/4/2009 10:46,CORE
20,0801CS01,3,2009,EE220,8,BB,12/4/2009 10:28,CORE
21,0801CS01,3,2009,HS201,6,BB,12/4/2009 18:35,HS Elective
22,0801CS01,3,2009,MA201,8,BB,12/3/2009 14:50,CORE
23,0801CS01,4,2009,CS204,6,BB,5/8/2010 9:27,CORE
24,0801CS01,4,2009,CS222,6,CC,5/7/2010 11:21,CORE
25,0801CS01,4,2009,CS223,3,BB,5/7/2010 14:22,CORE
26,0801CS01,4,2009,CS241,7,AB,5/8/2010 10:32,CORE
27,0801CS01,4,2009,CS242,5,AB,5/7/2010 19:35,CORE
28,0801CS01,4,2009,HS202,6,BB,5/7/2010 18:53,HS ELECTIVE
29,0801CS01,4,2009,MA225,8,BB,5/7/2010 12:51,CORE
30,0801CS01,4,2009,MA251,6,BB,5/7/2010 11:27,Elective-Sc.
31,0801CS01,5,2010,CS301,6,BB,12/1/2010 11:20,CORE
32,0801CS01,5,2010,CS331,8,BC,12/6/2010 21:44,CORE
33,0801CS01,5,2010,CS341,6,BB,12/6/2010 13:31,CORE
34,0801CS01,5,2010,CS342,5,AB,12/6/2010 14:06,CORE
35,0801CS01,5,2010,CS343,6,BB,12/3/2010 11:40,CORE
36,0801CS01,5,2010,CS344,6,BB,12/6/2010 20:36,CORE
37,0801CS01,5,2010,CS345,5,BB,12/7/2010 11:24,CORE
38,0801CS01,6,2010,CS302,6,BC,5/9/2011 10:16,CORE
39,0801CS01,6,2010,CS346,6,BC,5/6/2011 18:16,CORE
40,0801CS01,6,2010,CS347,3,BB,5/6/2011 18:26,CORE
41,0801CS01,6,2010,CS348,8,BC,5/5/2011 20:37,CORE
42,0801CS01,6,2010,CS362,8,CC,5/6/2011 18:40,CORE
43,0801CS01,6,2010,CS399,3,AA,5/6/2011 20:12,CORE
44,0801CS01,6,2010,HS331,6,BB,5/2/2011 19:43,HS Elective
45,0801CS01,7,2011,CS400,2,AB,12/7/2011 15:53,CORE
46,0801CS01,7,2011,CS421,6,BC,12/7/2011 19:29,CORE
47,0801CS01,7,2011,CS422,5,BB,12/7/2011 19:23,CORE
48,0801CS01,7,2011,CS443,6,AB,12/9/2011 11:12,DEPARTMENTAL ELECTIVE - II
49,0801CS01,7,2011,CS461,6,BB,12/7/2011 17:00,DEPARTMENTAL ELECTIVE - I
50,0801CS01,7,2011,CS498,10,AA,12/10/2011 15:46,CORE
51,0801CS01,7,2011,MA410,6,AB,12/8/2011 12:27,OPEN ELECTIVE - I
52,0801CS01,8,2011,CS452,6,BB,5/7/2012 17:03,Departmental Elective - IV
53,0801CS01,8,2011,CS453,6,AA,5/8/2012 9:44,Departmental Elective - III
54,0801CS01,8,2011,CS499,16,AA,6/5/2012 11:19,CORE
55,0801CS01,8,2011,HS441,6,BB,5/3/2012 11:04,HSS Elective
56,0801CS01,8,2011,MA412,6,BC,5/7/2012 12:01,Open Elective - II
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
